Link	Class	Ingredients
http://www.bbc.co.uk/food/recipes/tamarind_and_lemongrass_62200	N	
http://www.bbc.co.uk/food/recipes/banana_and_chocolate_84652	N	
http://www.bbc.co.uk/food/recipes/christmas_brownies_41164	V	
http://www.bbc.co.uk/food/recipes/salmonencroutewithsa_87683	N	150ml/¼ pint double cream 1 tbsp wholegrain mustard salt and freshly ground black pepper 1 tbsp chopped fresh dill1 tbsp butter 200g/7oz spinach2 tbsp chopped fresh dill 2 tbsp chopped fresh chives 100g/3½oz cream cheese 1 tbsp wholegrain mustard 150g/5oz salmonfillet skinned flour for dusting ¼ x 425g/15oz packet ready-rolled puff pastry 1 free-range egg beaten
http://www.bbc.co.uk/food/recipes/mangochutney_1319	V	
http://www.bbc.co.uk/food/recipes/basilandlemonsyllabu_86283	V	100g/3½oz redcurrants 50g/2oz caster sugar 1 orange juice and zest250ml/9fl oz double cream whipped 1 lemon juice and zest 50g/2oz icing sugar handful fresh basil roughly chopped2 sprigs fresh basil
http://www.bbc.co.uk/food/recipes/steamed_apple_sponge_96638	V	
http://www.bbc.co.uk/food/recipes/alcrematwithalittleg_94027	N	50ml/1¾fl oz sherry vinegar 200ml/7¼fl oz olive oil 1 tsp Dijon mustard 1 shallot peeled finely diced 2 Little Gem lettuces leaves separated 25g/1oz dandelionleaves 1 bunch watercress 1 tbsp chopped fresh tarragon 1 tbsp chopped fresh chervil 1 tbsp chopped fresh mint2 tbsp olive oil 1 shallot peeled finely chopped 1 anchovy fillet chopped ½ tsp finely chopped red chilli 1 garlic peeled finely chopped 5 king prawns peeled heads and tails left on 100ml/3½fl oz dry white wine 200ml/7¼fl oz fish soup 1 tbsp chopped fresh flatleaf parsley 1 tbsp persillade (equal quantities of finely chopped garlicand parsley) 1 tbsp breadcrumbs6 garlic cloves cut in half 1 tbsp Dijon mustard 125ml/4½fl oz extra virgin olive oil pinch ground espelette pepper (or pinch paprika and cayenne pepper) 1 lemon juice only4 slices toasted sourdough bread
http://www.bbc.co.uk/food/recipes/cocoadustedchocolate_89008	V	
http://www.bbc.co.uk/food/recipes/spinachsoupwithnutme_88837	V	1 tbsp olive oil 25g/1oz butter ½ onion finely chopped 200g/7oz spinachleaves 400ml/14fl oz vegetable stock 3 tbsp double cream ½ nutmeg freshly grated salt and freshly ground black pepper
http://www.bbc.co.uk/food/recipes/myfavouritestuffing_13964	N	
http://www.bbc.co.uk/food/recipes/coconut_and_sticky_rice_52999	V	
http://www.bbc.co.uk/food/recipes/grilled_monkfish_cheeks_52393	N	25g/1oz crushed garlic 25g/1oz fresh root ginger grated with juice 50g/1¾oz umeboshi paste (made from pickled ume fruits) available from specialist Japanese suppliers 1 lime juice and zest only 200ml/7fl oz light olive oil 10 green shiso leaves chopped ¼ bunch flatleaf parsley8 medium-sized monkfishcheeks 4 baby gem lettuce quartered 1 avocado firm but ripe quartered 6 asparagusspears sea salt light olive oil 35g/1¼oz edamame beans 12 small mintleaves
http://www.bbc.co.uk/food/recipes/coq_au_vin_87115	N	1.5kg/3¼lb chicken jointed 150g/5oz diced baconor lardons 10 French shallots peeled a few thymesprigs 1 rosemarysprig 1 tsp dried chilliflakes 3 tbsp olive oil 250ml/9fl oz white wine small knob of butter 350g/13oz mixed mushrooms(such as oyster and chestnut) sliced 3 garliccloves crushed small handful chopped fresh flatleaf parsley800g/1¾Ib potatoes peeled and chopped 150ml/5fl oz milk 25g/1oz butter 110g/4¼oz crème fraîche(or 110ml/4¼fl oz single cream) sea salt to taste
http://www.bbc.co.uk/food/recipes/potted_salmon_29293	N	
http://www.bbc.co.uk/food/recipes/coraltroutpoachedinm_74654	N	500g/1lb 2oz floury potatoes scrubbed and left whole 1 large free-range egg salt and freshly ground black pepper freshly ground nutmeg to taste 100g/3½oz plain flour 75g/3oz ricotta 1 tbsp chopped basil1 tbsp vegetable oil 4 fresh coral trout fillets weighing about 180g/6½oz each (you can also use sea bassor scorpion fish fillets) salt and freshly ground black pepper 1 lemon freshly grated zest only 1 dried chilli 1 garlicclove finely sliced 125ml/4½fl oz dry white wine 500ml/18fl oz skimmed milk 2 tbsp mascarponecheese 4 tbsp chopped basil
http://www.bbc.co.uk/food/recipes/cashewbreadandhoneyp_88889	V	200ml/7fl oz double cream 3 free-range eggs beaten 2 tbsp honey ½ tsp mixed spice powder 2 slices white bread butter for greasing 2 tsp caster sugar 25g/1oz cashewnuts roughly chopped85g/3oz caster sugar 85g/3oz cashewnuts
http://www.bbc.co.uk/food/recipes/lamb_burger_with_mint_25476	N	2 free-range egg yolks 2 tsp white wine vinegar 1 tsp Dijon mustard 300ml/10fl oz vegetable oil 1 bunch mint leaves picked and chopped10g/¼oz fresh yeast 50ml/2fl oz full-fat milk at room temperature 300g/10½oz strong white flour plus extra for dusting 30g/1oz caster sugar 10g/¼oz fine sea salt 4 medium free-range eggs beaten 125g/4½oz butter softened plus extra for greasing 2 free-range egg yolks beaten for glazing1 tbsp olive oil 1 shallot chopped 4 tomatoes chopped 1 garlicclove crushed 2 tbsp balsamic vinegar 2 tsp brown sugar500g/1lb 2oz chipping potatoes cut into skinny fries vegetable oil for deep-fat frying8 gherkins sliced 4 beef tomatoes sliced 2 Little Gem lettuce leaves separated 1 red onion sliced salt and freshly ground black pepper500g/1lb 2oz lamb mince 2 tbsp vegetable oil
http://www.bbc.co.uk/food/recipes/chickenwrappedinbaco_85206	N	4 rashers smoked streaky bacon 1 chicken breast cut into 4 strips 1 tbsp olive oil1 tbsp olive oil ½ red pepper chopped 2 tsp red wine vinegar 2 tsp caster sugar 1 tbsp tomato ketchup dash Tabascosauce small handful fresh basiland mint chopped
http://www.bbc.co.uk/food/recipes/hotsweetandsourstraw_88193	V	1 tbsp olive oil 2 tbsp caster sugar 1 vanilla pod split with a sharp knife to remove the seeds 2 tbsp red wine vinegar 100g/3½oz fresh strawberries 75ml/2½fl oz red wine100ml/3½fl oz double cream ½ vanilla pod seeds only 2 tsp icing sugar 2 tbsp sugar-coated chocolatebuttons
http://www.bbc.co.uk/food/recipes/searedsteakonapotato_87723	N	1 potato cut into 2cm/1in slices pinch turmeric 40g/1½oz butter55g/2oz fresh shelled peas cooked 3 tbsp olive oil200ml/7fl oz red wine 1 beef stockcube 1 tsp cornflour salt and freshly ground black pepper½ sirloinsteak freshly ground black pepper vegetable oil for brushing
http://www.bbc.co.uk/food/recipes/tomatoandbasilpoache_83682	N	1 tbsp olive oil 2 onions sliced 2 garliccloves finely chopped 2 x 400g/14oz cans of chopped tomatoes 125ml/4fl oz vegetable or fish stock salt and freshly ground black pepper 4 x 200g/7oz firm white fishfillets
http://www.bbc.co.uk/food/recipes/kipperpatewithbrusce_80190	N	50g/1¾oz capers 50ml/2fl oz olive oil salt and freshly ground black pepper1 tbsp olive oil 100g/3½oz cream cheese 2 spring onions finely chopped 1 kipper skin removed and chopped 50g/1¾oz Greek yoghurt 1 lime juice only 1 tbsp chopped fresh chives salt and freshly ground black pepper1 tbsp olive oil 1 slice ready-made sodafarl1 tbsp olive oil ½ lemon juice only 1 cooked beetroot finely chopped 1 tbsp red onion finely chopped 1 tbsp finely chopped fresh chervil 1 tbsp chopped fresh dill salt and freshly ground black pepper
http://www.bbc.co.uk/food/recipes/cinnamonfrenchtoastw_90685	V	1 free-range egg 150ml/5fl oz milk 1 tbsp caster sugar ½ tsp ground cinnamon 2 slices white bread 25g/1oz butter
http://www.bbc.co.uk/food/recipes/chilli_tomato_pizza_and_84481	N	800g/1lb12oz Italian ‘00’ white flour 200g/7oz semolinaflour plus extra for dusting 1 tsp salt 1 tbsp caster sugar 14g/½oz dried yeast2 x 400g/14oz tins San Marzano tomatoes 2 large balls mozzarella roughly torn 50g/1¾oz pecorinocheese finely grated 3 tbsp peanut oil 1 large handful basilleaves 2 chillies finely sliced 1 small cooked lobster meat removed and cut into chunks 1 tbsp mango chilli sauce salt and freshly ground black pepper
http://www.bbc.co.uk/food/recipes/slow-cooked_marinated_21493	N	1 tsp sea salt 1 stalk lemongrass bruised halved lengthways finely chopped 2 pinches freshly ground white pepper 2 pinches Chinese five-spice powder 4 new season garliccloves crushed 3cm/1¼in fresh ginger peeled chopped 2 red chillies seeds and pith removed finely chopped 1kg/2lb 2oz pork belly ribs removed 2 tbsp rapeseed oil soy sauce to taste sesame oil to taste350g/12oz spring pointed cabbagecut into 0.5cm/¼in slices 20g/¾oz unsalted butter pinch sea salt pinch freshly ground black pepper
http://www.bbc.co.uk/food/recipes/tagliatellewithgarli_82151	N	
http://www.bbc.co.uk/food/oatcake	N	
http://www.bbc.co.uk/food/recipes/mini_meringue_nests_with_63500	V	
http://www.bbc.co.uk/food/recipes/searedbeefsaladwithc_70260	N	3 celerysticks cut diagonally into 1cm/½in slices 3 tbsp olive oil ¼ tsp salt ½ tsp cracked black peppercorns50g/2oz Cashel Blue cheese crumbled350g/12oz beeffillet trimmed and in one piece 1 tbsp olive oil 1 tsp cracked black peppercorns mixed salad leaves to serve 1 tablespoon snipped fresh chives to garnish fresh chervilleaves to garnish
http://www.bbc.co.uk/food/recipes/muttononionandmintte_85922	N	1 tbsp olive oil 2 onions finely sliced salt and freshly ground black pepper 3 tbsp finely chopped fresh mint 300g/11oz streaky bacon 750g/1lb 11oz leg of mutton thinly sliced1 tbsp olive oil 1 red onion finely chopped 1 garlicclove finely chopped 2cm/¾in piece fresh ginger grated 1 tsp mustard seeds 300g/11oz ready-cooked beetroot chopped 50g/2oz caster sugar 75ml/3fl oz sherry vinegar1 baguette thickly sliced
http://www.bbc.co.uk/food/recipes/rocketandparmahamrol_84438	N	
http://www.bbc.co.uk/food/recipes/paprikaquornraguwith_88882	V	2 tbsp olive oil 1 onion chopped 2 garliccloves chopped 1 tsp smoked paprika 150g/5oz Quorn pieces 150ml/5fl oz white wine 150ml/5fl oz double cream 85g/3oz cherry tomatoes halved150g/5oz self-raising flour 1 tsp baking powder 1 tbsp olive oil 75ml/2½fl oz milk 85g/3oz Double Gloucestercheese grated
http://www.bbc.co.uk/food/recipes/stuffedpepperwithbla_85359	N	1 tbsp vegetable oil 2 free-range eggs salt and freshly ground black pepper30g/1oz black pudding sliced ½ red pepper cored seeds removed
http://www.bbc.co.uk/food/recipes/tiramisu_cake_13686	V	a little softened butter for greasing 4 large free-range eggs 100g/3½oz caster sugar 100g/3½oz self-raising flour100g/3½oz dark chocolate (70% cocoa solids) finely chopped 2 tbsp cocoa powder1 tbsp instant coffee granules 150ml/5½fl oz boiling water 100ml/3½fl oz brandy 3 x 250g/9oz tubs full-fat mascarponecheese 300ml/10½fl oz double cream 3 tbsp icing sugar sifted 65g/2¼oz dark chocolate(36% cocoa solids) grated
http://www.bbc.co.uk/food/recipes/mammole_artichoke_salad_32574	N	
http://www.bbc.co.uk/food/recipes/dover_sole_with_33308	N	125g/4½oz butter 1 shallot peeled finely chopped 1 tsp ground mace ½ tsp cayenne pepper 2 tsp Gentleman’s relish (or another anchovy paste) 100g/3½oz white crabmeat picked 50g/2oz fresh watercressleaves chopped salt and freshly ground black pepper squeeze of lemon juice2 whole lemons peeled pith scraped off sliced into rounds 4 sprigs fresh watercress2 x 600-700g/1lb 5oz-1lb 8oz Dover soles filleted (ask your fishmonger to do this for you) 75g/3oz plain flour salt and freshly ground black pepper 50ml/2fl oz vegetable oil knob of butter
http://www.bbc.co.uk/food/recipes/salt_marsh_lamb_cooked_37494	N	1 x 2.5-3kg/5½-6½lb shoulder salt marsh lamb any fat trimmed and reserved for jus (see below) salt and freshly ground black pepper 75g/3oz fresh sea lettuce 110g/4oz butter softened at room temperature handful sea aster handful sea purslane 1 free-range egg yolk beaten sea saltflakes 8 medium-sized potatoesknob of butter trimmings from the lamb shoulder(see above) 2 shallots roughly chopped 3 garliccloves roughly chopped 4 fresh thymesprigs 1 fresh bay leaf 125ml/4½fl oz white wine 300ml/11fl oz chicken stockknob of butter 500g/1lb 2oz sea beets 500g/1lb 2oz spinach 50g/2oz wild sorrel1kg/2lb 2oz strong white bread flour plus extra for dusting 600g/1lb 6oz table salt 9 free-range egg whites 300ml/11fl oz water
http://www.bbc.co.uk/food/recipes/coqauvin_2965	N	
http://www.bbc.co.uk/food/recipes/tofucroquetteswithcr_73354	V	400g/14oz semi-firm tofu rinsed and drained grated 1 small bunch spring onions white part only finely chopped 2 carrots finely grated 1 courgette grated 50g/2oz flour 2-3 sprigs fresh thyme 100g/3½oz fine dry breadcrumbs salt and freshly ground black pepper to taste vegetable oil for frying100g/3½oz sugar 250g/9oz fresh or frozen cranberries 100ml/3½fl oz fresh orange juice 1 orange finely grated zest only (optional)
http://www.bbc.co.uk/food/recipes/roquefortandwalnutch_84893	V	150g/5½oz Roquefortcheese 1 free-range egg yolk 50g/1¾oz chopped walnuts 100g/3½oz breadcrumbs salt and freshly ground black pepper 1 free-range egg beaten 50g/1¾oz plain flour 50g/1¾oz breadcrumbs 2 tbsp olive oil3 tbsp honey 2 tbsp olive oil 1 tbsp white wine vinegar 1 tbsp chopped fresh basil to serve
http://www.bbc.co.uk/food/recipes/apple_charlotte_08809	V	50g/1¾oz unsalted butter softened 50g/1¾oz caster sugar80g/3oz caster sugar 25g/1oz unsalted butter chilled 500g/1lb 2oz Cox’s Orange Pippin apples peeled cored and each cut into 8 wedges150ml/5fl oz fresh apple juice 10g caster sugar ½ tsp apple pectin 250g/9oz Blenheim Orange apples(about 5) peeled and chopped ½ tsp vanilla purée or good-quality vanilla extract200g/7oz wholemeal bread cut into 11 slices; each 5mm/¼in thick 50g/1¾oz unsalted butter softened
http://www.bbc.co.uk/food/recipes/beef_and_mushroom_pie_97395	N	
http://www.bbc.co.uk/food/recipes/pardina_lentils_with_32549	N	
http://www.bbc.co.uk/food/recipes/eggsandspinachencoco_88059	V	
http://www.bbc.co.uk/food/recipes/crispy_aubergine_and_11471	V	25g/1oz Parmesancheese (or alternative vegetarian hard cheese) grated 100g/3½oz breadcrumbs 2 aubergines topped and tailed and sliced long ways 2 balls of mozzarella sliced 100g/3½oz plain flour 2 eggs beaten vegetable oil for frying4 tbsp extra virgin olive oil 400g can chopped tomatoes preferably San Marzano 2 garliccloves roughly chopped 1 tsp dried oregano 1 large handful fresh basilleaves roughly chopped salt and freshly ground black pepper
http://www.bbc.co.uk/food/recipes/blackberry_bites_08399	V	
http://www.bbc.co.uk/food/recipes/wild_mushroom_and_38111	N	2 tbsp olive oil 50g/1¾oz unsalted butter 4 partridgebreasts skin on 250g/9oz wild mushrooms 200ml/7fl oz beef stockof jus 100ml/3½fl oz double cream300g/10½oz ‘00’ pasta flour 4 free-range eggs 25g/1oz unsalted butter 100g/3½oz wild mushrooms cleaned 1 sprig fresh thyme 1 partridgebreast (approx. 100-150g/3½-5½oz ) skin removed 150ml/5fl oz double cream salt and freshly ground black pepperselection of fresh herbs
http://www.bbc.co.uk/food/recipes/battered_sea_bream_with_99418	N	225g/8oz dried marrowfat peas 1 tsp bicarbonate of soda 75g/3oz butter 4 fillets sea bream pin boned 3 free-range eggs yolks and whites separated 75g/3oz plain flour 75ml/3fl oz sparkling water sea salt freshly ground black pepper
http://www.bbc.co.uk/food/recipes/salmonwithapinenutcr_89247	N	55g/2oz pine nuts 25g/1oz butter 2 tbsp chopped fresh dill 25g/1oz white breadcrumbs 1 tbsp olive oil 100g/3½oz salmonfillet skin on6 cherry tomatoes halved ¼ onion finely chopped 2 tbsp balsamic vinegar 1 tbsp olive oil salt and freshly ground black pepper2 tbsp olive oil ½ sweet potato peeled and sliced into 1cm/½ inch thick pieces salt and freshly ground black pepper
http://www.bbc.co.uk/food/recipes/chicken_red_wine_and_88480	N	
http://www.bbc.co.uk/food/recipes/lemon_and_lavender_loaf_90853	V	juice of 2 lemons strained 2 tbsp icing sugar250g/9oz plain flour ½ tsp baking powder ½ tsp bicarbonate of soda 125g/4½oz caster sugar 1½ tbsp edible lavender 2 unwaxed lemons finely grated zest only 2 large free-range eggs 200g/7oz plain full-fat yoghurt 100g/3½oz unsalted butter melted1 tbsp granulated sugar 2 tsp edible lavender
http://www.bbc.co.uk/food/recipes/medjool_date_and_walnut_11732	V	500g/1lb 2oz self-raising floursifted plus extra for flouring 100g/3½oz butter at room temperature chopped into little squares plus extra for greasing 40g/1½oz caster sugar pinch flaked sea salt 300ml/10fl oz full-fat milk 1 tbsp crème fraîche Medjool dates chopped into chunks (to taste) walnuts toasted and chopped (to taste)
http://www.bbc.co.uk/food/recipes/hotchickencakeswithh_92226	N	70g/2½oz fresh white breadcrumbs 500g/17½oz minced chicken 6 rashers streaky bacon finely chopped 1 lemon zest and juice 6 sprigs fresh thyme leaves only roughly chopped 3 heaped tbsp freshly grated parmesancheese salt and freshly ground black pepper 1-2 tbsp olive oil
http://www.bbc.co.uk/food/recipes/easy_boston_baked_beans_26627	N	1 tbsp olive oil 150g/5oz cubed pancetta 1 onion finely chopped 2 cloves garlic crushed ½ tsp hot paprika 1 tbsp English mustard 1 tsp treacle splash Worcestershire sauce 300g/10oz canned cherry tomatoes 1 tsp brown sugar 1 tsp tomato purée 1 x 400g/14oz can haricot beans drained rinsed 1 tbsp chopped fresh flatleaf parsley to garnish2 good quality pork sausages 1 tbsp olive oil350g/12oz Desiréepotatoes peeled 2 spring onions finely sliced 1 heaped teaspoon plain flour 1 large knob of butter 2 tbsp olive oil
http://www.bbc.co.uk/food/recipes/teriyaki_mushroom_42335	N	
http://www.bbc.co.uk/food/recipes/beef_ribs_with_bbq_sauce_80391	N	4 Jacob’s ladder beef ribs 1 onion chopped 1 head of garlic cut in half horizontally 1 tsp fennel seeds 2 star anise 4 baking potatoes a little oil sea salt and freshly ground black pepper 200ml/7fl oz double cream 1 lemon juice only 3 tbsp chives finely sliced25g/1oz butter plus extra to serve 1 onion roughly chopped 1 garlicclove crushed 2 red chillies finely sliced 1 tsp fennel seeds crushed 2 star anise 150g/5½oz light muscovado sugar 300g/10½oz tomato ketchup 150g/5½oz chipotlechilli ketchup 150ml/5fl oz dark soy sauce
http://www.bbc.co.uk/food/recipes/artichoke_and_broad_bean_49121	V	
http://www.bbc.co.uk/food/recipes/arabian_night_tart_07930	V	125g/4½oz caster sugar 1 medium free-range egg 250g/9oz plain flour 125g/4½oz salted butter chilled and diced 1 free-range egg white only80g/3oz sugar 4 large free-range eggs yolks only 50g/1¾oz cornflour 500ml/18fl oz whole milk 20g/¾oz honey 1 cardamompod 30g/1oz unsalted butter175g/6oz blueberries 1 large pomegranate kernels only 200g/7oz seedless white grapes sliced in half along the width 1 pink dragon fruit flesh only sliced 5 tbsp smooth apricot jam handful unsalted pistachionuts shelled and crushed handful flaked almonds100g/3½oz unsalted pistachionuts shelled 30g/1oz ground almonds 100g/3½oz salted butter softened 80g/3oz caster sugar 2 large free-range eggs 20g/¾oz runny honey
http://www.bbc.co.uk/food/recipes/tandoori_chicken_62227	N	1 green chilli finely chopped 1 garlicclove finely chopped ½ cucumber skin and seeds removed finely diced ½ tsp ground cumin 2 tbsp finely chopped fresh mintleaves 2 tbsp finely chopped fresh corianderleaves 200ml/7fl oz plain yoghurt 1 lime juice only sea salt and freshly ground black pepper12 chickendrumsticks (leg and thigh meat) skin removed 300ml/10½fl oz plain yoghurt 1 tsp garam masala 1 tsp ground cumin 1 tbsp chilli powder ½ tsp ground turmeric ½ tsp ground cinnamon 5cm/2in piece fresh root ginger skin on finely grated 1 garlicclove finely chopped 1 lemon juice only
http://www.bbc.co.uk/food/recipes/roastedpearswithcran_87703	V	2 satsumas juice of one the other peeled and segmented 200g/7oz cranberries 1 orange juice only 55g/2oz caster sugar ¼ tsp chilliflakes1 tbsp butter 1-2 pears cored and sliced into wedges 30g/1oz caster sugar
http://www.bbc.co.uk/food/recipes/salmonravioli_86709	N	500g/1lb 1½oz fresh pastadough 1 free-range egg beaten splash olive oil1 tbsp soy sauce 4 tbsp sesame oil(not toasted sesame oil) 2 tbsp balsamic vinegar 2.5cm/1in piece fresh ginger peeled and sliced salt and freshly ground black pepper100g/3½oz king scallopmeat or 2-3 king scallops removed from their shells and cleaned 100ml/3½fl oz double cream 600g/1lb 5oz salmonfillet skinned and chopped Few fresh corianderleaves chopped few fresh basilleaves chopped squeeze of lemon juice1 tbsp olive oil 150g/5¼oz spinachleaves salt and freshly ground black pepper 1-2 sprigs fresh basil leaves torn 1 sprig fresh dill chopped 1 sprig fresh flatleaf parsley chopped 3-4 pinches micro- cresses(optional) available from some supermarkets
http://www.bbc.co.uk/food/sloe_gin	N	
http://www.bbc.co.uk/food/recipes/eggless_sponge_cake_70634	V	
http://www.bbc.co.uk/food/recipes/tartiflette_and_bacon_21649	N	
http://www.bbc.co.uk/food/recipes/trioofbrowntroutwith_92124	N	15g/½oz sugar 200ml/7fl oz red wine vinegar 80g/2¾oz Dijon mustard 400ml/14fl oz olive oil salt and freshly ground black pepper 2 tbsp chopped fresh dill 4 deep-fried fresh sageleaves to serve200g/7oz watercressleaves 1 Chinese cabbage core removed leaves shredded 50g/2oz pine nuts 2 tbsp extra virgin olive oil salt and freshly ground black pepper 2 tsp freshly squeezed lemon juice splash chicken stock4 whole brown trout heads and tails removed skin scored 3-4 times using a sharp knife salt and freshly ground black pepper 300g/10½oz cold butter chopped into 12 pieces bunch mixed herbs such as parsley chives and tarragon splash white wine splash olive oil50g/2oz unsalted butter 1 tbsp plain flour plus extra for dusting 250ml/9fl oz whole milk 1 tbsp chopped fresh tarragonleaves salt and freshly ground black pepper 500g/1lb 2oz cooked langoustinesor prawns heads removed shells removed de-veined 500g/1lb 2oz baby spinachleaves 1 x 250g/9oz pack ready-made puff pastry plain flour for dusting poached trout and salmonmeat (reserved from the mousseline see above) 1 free-range egg beaten for egg wash500ml/17fl oz fish stock 1 carrot peeled and finely chopped 1 celerystalk finely chopped 1 onion peeled and finely chopped 250ml/9fl oz dry white wine salt and freshly ground black pepper 2 hot- smoked troutfillets 2 smoked salmonfillets 1 tsp creamed horseradish (from a jar) 150ml/5fl oz double cream 3 tbsp unsalted butter softened plus extra for greasing 2 tsp chopped fresh parsley 1 free-range egg beaten6 rhubarbstems trimmed roughly chopped 50-60g/2-2½oz soft brown sugar 1 star anise splash water
http://www.bbc.co.uk/food/recipes/mini_venison_wellington_44256	N	
http://www.bbc.co.uk/food/recipes/irishbeefstew_73826	N	1½kg/3lb 5oz stewing beef cut into cubes 175g/6oz streaky bacon 3 tbsp olive oil 12 baby onions peeled 18 button mushrooms left whole 3 carrots cut into quarters or 12 baby carrots scrubbed and left whole salt and freshly ground black pepper 1 tbsp chopped thyme 2 tbsp chopped parsley 10 cloves of garlic crushed and grated 425ml/15fl oz red wine 425ml/15fl oz chicken or beef stock
http://www.bbc.co.uk/food/recipes/red_mullet_with_hazelnut_93738	N	1 leek finely chopped white and green parts separated 25g/1oz unsalted butter 1 banana shallot finely chopped 2 Agata potatoes cut into 0.25/¼in cubes 250ml/9fl oz chicken stock 25g/1oz mascarpone 25g/1oz grated fresh parmesan75g/3oz hazelnuts toasted 25g/1oz dried breadcrumbs 4 x 250g/9oz red mullet filleted tail left on 2 free-range egg whites 50g/2oz butter200ml/7fl oz red wine 50ml/2fl oz ruby port 1 sprig fresh rosemary 250ml/9fl oz fish stock 25g/1oz unsalted butter 1 lemon juice only
http://www.bbc.co.uk/food/recipes/beef_stew_with_fluffy_95002	N	1kg/2lb 4oz silversidebeef cut into large pieces 1 tsp plain flour 2 tbsp vegetable oil 2 onions cut into chunks 3 carrots scrubbed and cut into large pieces 4 sticks celery cut into large pieces 1 tbsp tomato purée 300ml/10½fl oz red wine 500ml/18fl oz beef stock 2 sprigs fresh parsley 1 bay leaf 3 sprigs fresh thyme 2 garliccloves finely sliced 25g/1oz butter 1 tsp redcurrant jelly200g/7oz plain flour plus extra for dusting 1½ tsp baking powder 100g/3½oz suet shredded 2 tbsp finely chopped flatleaf parsley sea salt and freshly ground black pepper
http://www.bbc.co.uk/food/recipes/chickenliverparfaitw_90184	N	
http://www.bbc.co.uk/food/recipes/chargrilledsteakkeba_88675	N	25g/1oz butter 1 tbsp olive oil ½ onion finely chopped 1 garlicclove chopped 1 tbsp red wine vinegar 1 tsp caster sugar 1 tbsp tomato purée 1 beef tomato seeds removed chopped salt and freshly ground black pepper 1 tbsp chopped fresh parsley 1 tbsp chopped fresh chives200g/7oz rumpsteak cut into large cubes salt and freshly ground black pepper 2 tbsp olive oil
http://www.bbc.co.uk/food/recipes/asian_spice_crackers_17679	N	
http://www.bbc.co.uk/food/recipes/butternutsquashandgi_84302	V	140g/5oz butternut squash peeled and chopped pinch dried ground ginger 110g/4oz butter 110g/4oz plain flour 110g/4oz caster sugar 2 free-range eggs 1 tbsp baking powder 1 tbsp clear honey142ml/5fl oz double cream 30g/1oz caster sugar ½ orange peeled and segmented
http://www.bbc.co.uk/food/recipes/arancini_with_deep-fried_05270	N	
http://www.bbc.co.uk/food/recipes/tamarind-marinated_90215	N	
http://www.bbc.co.uk/food/recipes/fishpiewithcheesepas_11071	N	
